epoch,batch,train_loss,train_accuracy
4.0,545.0,0.5918941,0.875
4.0,546.0,1.0328552,0.65625
4.0,547.0,1.0993927,0.625
4.0,548.0,0.61154544,0.8260869565217391
5.0,549.0,0.72935545,0.8125
5.0,550.0,0.27092633,1.0
5.0,551.0,0.8411994,0.75
5.0,552.0,0.87763083,0.75
5.0,553.0,0.78407705,0.8125
5.0,554.0,1.1851264,0.65625
5.0,555.0,0.7115972,0.90625
5.0,556.0,0.54718745,0.8125
5.0,557.0,0.75515264,0.875
5.0,558.0,0.74442095,0.8125
5.0,559.0,0.7370927,0.84375
5.0,560.0,0.63830143,0.78125
5.0,561.0,0.66322476,0.78125
5.0,562.0,0.69200623,0.8125
5.0,563.0,0.49316046,0.875
5.0,564.0,0.6141016,0.875
5.0,565.0,0.5943254,0.78125
5.0,566.0,0.67872196,0.8125
5.0,567.0,0.6942095,0.84375
5.0,568.0,0.69112676,0.78125
5.0,569.0,0.79589856,0.84375
5.0,570.0,0.751518,0.8125
5.0,571.0,0.5819091,0.84375
5.0,572.0,0.6209038,0.875
5.0,573.0,0.63004035,0.8125
5.0,574.0,0.4221344,0.9375
5.0,575.0,0.7377199,0.84375
5.0,576.0,0.54988784,0.9375
5.0,577.0,0.57910246,0.875
5.0,578.0,0.8037857,0.78125
5.0,579.0,0.8079417,0.8125
5.0,580.0,0.55538356,0.8125
5.0,581.0,0.59861094,0.84375
5.0,582.0,0.735359,0.78125
5.0,583.0,0.90428644,0.8125
5.0,584.0,0.82688975,0.78125
5.0,585.0,0.6557115,0.84375
5.0,586.0,0.6701929,0.875
5.0,587.0,0.92419547,0.8125
5.0,588.0,0.89276314,0.75
5.0,589.0,0.5993618,0.84375
5.0,590.0,0.7944605,0.8125
5.0,591.0,0.9489879,0.75
5.0,592.0,1.2454137,0.65625
5.0,593.0,0.668893,0.8125
5.0,594.0,0.5738146,0.875
5.0,595.0,0.7361978,0.78125
5.0,596.0,0.61392343,0.8125
5.0,597.0,0.5912863,0.78125
5.0,598.0,0.60822535,0.875
5.0,599.0,0.771485,0.78125
5.0,600.0,0.71800894,0.8125
5.0,601.0,0.8819828,0.78125
5.0,602.0,0.66725236,0.84375
5.0,603.0,0.637094,0.875
5.0,604.0,0.66076773,0.78125
5.0,605.0,0.7408468,0.8125
5.0,606.0,0.755177,0.8125
5.0,607.0,0.814106,0.71875
5.0,608.0,0.49715635,0.875
5.0,609.0,0.6659252,0.84375
5.0,610.0,0.7457507,0.84375
5.0,611.0,0.89876795,0.6875
5.0,612.0,0.6382956,0.78125
5.0,613.0,0.6092026,0.84375
5.0,614.0,0.72397506,0.78125
5.0,615.0,0.75228494,0.65625
5.0,616.0,0.58910424,0.875
5.0,617.0,0.68850523,0.84375
5.0,618.0,0.6660889,0.75
5.0,619.0,0.67896736,0.84375
5.0,620.0,0.73549426,0.78125
5.0,621.0,0.677439,0.75
5.0,622.0,0.6136973,0.8125
5.0,623.0,0.42427477,0.9375
5.0,624.0,0.62051123,0.84375
5.0,625.0,0.6398536,0.84375
5.0,626.0,0.53551,0.8125
5.0,627.0,0.7557481,0.71875
5.0,628.0,0.94991213,0.6875
5.0,629.0,0.53397995,0.8125
5.0,630.0,0.5569803,0.90625
5.0,631.0,0.6655319,0.78125
5.0,632.0,0.7000696,0.78125
5.0,633.0,0.56837666,0.875
5.0,634.0,0.68249065,0.8125
5.0,635.0,0.6082479,0.875
5.0,636.0,0.8601887,0.78125
5.0,637.0,0.9576347,0.78125
5.0,638.0,0.58501554,0.8125
5.0,639.0,0.73349047,0.8125
5.0,640.0,0.8302892,0.6875
5.0,641.0,0.59858245,0.8125
5.0,642.0,0.7274418,0.75
5.0,643.0,0.9824913,0.75
5.0,644.0,0.62127125,0.84375
5.0,645.0,0.45951614,0.90625
5.0,646.0,0.3754822,0.9375
5.0,647.0,0.76180625,0.71875
5.0,648.0,0.71852446,0.78125
5.0,649.0,0.49044296,0.9375
5.0,650.0,0.78228766,0.8125
5.0,651.0,0.8431628,0.78125
5.0,652.0,0.523789,0.84375
5.0,653.0,0.88570917,0.71875
5.0,654.0,0.4721571,0.875
5.0,655.0,0.6184919,0.90625
5.0,656.0,0.86251014,0.75
5.0,657.0,0.79845506,0.78125
5.0,658.0,0.6175686,0.90625
5.0,659.0,0.32842836,0.9375
5.0,660.0,0.54705065,0.875
5.0,661.0,0.78231096,0.75
5.0,662.0,0.88167495,0.71875
5.0,663.0,0.5970167,0.78125
5.0,664.0,0.86723757,0.75
5.0,665.0,0.44241259,0.9375
5.0,666.0,0.70385224,0.75
5.0,667.0,0.6983508,0.84375
5.0,668.0,0.6858029,0.78125
5.0,669.0,0.44137773,0.90625
5.0,670.0,0.93458605,0.71875
5.0,671.0,0.70786506,0.84375
5.0,672.0,0.6627884,0.78125
5.0,673.0,0.7630984,0.78125
5.0,674.0,0.9165413,0.65625
5.0,675.0,0.45484868,0.84375
5.0,676.0,0.865944,0.71875
5.0,677.0,0.7666864,0.78125
5.0,678.0,0.75449884,0.8125
5.0,679.0,0.7383691,0.875
5.0,680.0,0.86084557,0.8125
5.0,681.0,0.6152685,0.84375
5.0,682.0,1.1400192,0.65625
5.0,683.0,0.5063488,0.84375
5.0,684.0,0.82741827,0.6875
5.0,685.0,0.85136306,0.8260869565217391
6.0,686.0,0.41081744,0.90625
6.0,687.0,0.48438025,0.8125
6.0,688.0,0.95380723,0.71875
6.0,689.0,0.3457999,0.875
6.0,690.0,0.8050724,0.75
6.0,691.0,0.34046167,0.90625
6.0,692.0,0.38289353,0.90625
6.0,693.0,0.79337895,0.75
6.0,694.0,0.4523728,0.9375
6.0,695.0,0.84027404,0.6875
6.0,696.0,0.72155905,0.84375
6.0,697.0,0.48376438,0.9375
6.0,698.0,0.7701536,0.75
6.0,699.0,0.72846,0.78125
